gid,NUMPOINTS,경도,위도
마마57ab08aa,0,129.2320816,35.35636071
마마57ab08ab,0,129.2321297,35.3586139
마마57ab08ba,0,129.2321778,35.36086709
마마57ab08bb,0,129.232226,35.36312029
마마57ab09aa,0,129.2322741,35.36537348
마마57ab09ab,0,129.2323223,35.36762667
마마57ab09ba,0,129.2323704,35.36987986
마마57ab09bb,0,129.2324186,35.37213305
마마57ab10aa,0,129.2324668,35.37438623
마마57ab10ab,0,129.2325149,35.37663942
마마57ab10ba,0,129.2325631,35.37889261
마마57ab10bb,0,129.2326113,35.38114579
마마57ba00aa,0,129.2332922,35.28421867
마마57ba00ab,0,129.2333402,35.28647189
마마57ba00ba,0,129.2333882,35.28872511
마마57ba00bb,0,129.2334363,35.29097833
마마57ba01aa,0,129.2334843,35.29323154
마마57ba01ab,0,129.2335324,35.29548476
마마57ba01ba,0,129.2335805,35.29773797
마마57ba01bb,0,129.2336285,35.29999119
마마57ba02aa,0,129.2336766,35.3022444
마마57ba02ab,0,129.2337247,35.30449761
마마57ba02ba,0,129.2337728,35.30675082
마마57ba02bb,0,129.2338209,35.30900404
마마57ba03aa,0,129.233869,35.31125724
마마57ba03ab,1,129.2339171,35.31351045
마마57ba03ba,0,129.2339652,35.31576366
마마57ba03bb,0,129.2340133,35.31801687
마마57ba04aa,0,129.2340614,35.32027007
마마57ba04ab,0,129.2341095,35.32252328
마마57ba04ba,0,129.2341576,35.32477648
마마57ba04bb,0,129.2342058,35.32702969
마마57ba05aa,0,129.2342539,35.32928289
마마57ba05ab,0,129.234302,35.33153609
마마57ba05ba,0,129.2343502,35.33378929
마마57ba05bb,0,129.2343983,35.33604249
마마57ba06aa,0,129.2344465,35.33829569
마마57ba06ab,0,129.2344947,35.34054889
마마57ba06ba,0,129.2345428,35.34280209
마마57ba06bb,0,129.234591,35.34505528
마마57ba07aa,0,129.2346392,35.34730848
마마57ba07ab,0,129.2346874,35.34956167
마마57ba07ba,0,129.2347356,35.35181486
마마57ba07bb,0,129.2347838,35.35406806
마마57ba08aa,0,129.234832,35.35632125
마마57ba08ab,0,129.2348802,35.35857444
마마57ba08ba,0,129.2349284,35.36082763
마마57ba08bb,0,129.2349766,35.36308082
마마57ba09aa,0,129.2350248,35.36533401
마마57ba09ab,0,129.2350731,35.36758719
마마57ba09ba,0,129.2351213,35.36984038
마마57ba09bb,0,129.2351695,35.37209357
마마57ba10aa,0,129.2352178,35.37434675
마마57ba10ab,0,129.235266,35.37659993
마마57ba10ba,0,129.2353143,35.37885312
마마57ba10bb,0,129.2353625,35.3811063
마마57ba11aa,0,129.2354108,35.38335948
마마57bb00aa,0,129.2360401,35.28417925
마마57bb00ab,0,129.2360882,35.28643247
마마57bb00ba,0,129.2361363,35.28868568
마마57bb00bb,0,129.2361845,35.2909389
마마57bb01aa,0,129.2362326,35.29319211
마마57bb01ab,0,129.2362807,35.29544533
마마57bb01ba,0,129.2363289,35.29769854
마마57bb01bb,0,129.236377,35.29995175
마마57bb02aa,0,129.2364252,35.30220496
마마57bb02ab,0,129.2364733,35.30445817
마마57bb02ba,0,129.2365215,35.30671138
마마57bb02bb,0,129.2365696,35.30896458
마마57bb03aa,0,129.2366178,35.31121779
마마57bb03ab,0,129.236666,35.31347099
마마57bb03ba,0,129.2367142,35.3157242
마마57bb03bb,0,129.2367624,35.3179774
마마57bb04aa,0,129.2368106,35.32023061
마마57bb04ab,0,129.2368588,35.32248381
마마57bb04ba,0,129.236907,35.32473701
마마57bb04bb,0,129.2369552,35.32699021
마마57bb05aa,0,129.2370034,35.32924341
마마57bb05ab,0,129.2370516,35.33149661
마마57bb05ba,0,129.2370998,35.3337498
마마57bb05bb,0,129.2371481,35.336003
마마57bb06aa,0,129.2371963,35.3382562
마마57bb06ab,0,129.2372445,35.34050939
마마57bb06ba,0,129.2372928,35.34276258
마마57bb06bb,0,129.237341,35.34501578
마마57bb07aa,0,129.2373893,35.34726897
마마57bb07ab,0,129.2374375,35.34952216
마마57bb07ba,0,129.2374858,35.35177535
마마57bb07bb,0,129.2375341,35.35402854
마마57bb08aa,0,129.2375824,35.35628173
마마57bb08ab,0,129.2376306,35.35853491
마마57bb08ba,0,129.2376789,35.3607881
마마57bb08bb,0,129.2377272,35.36304129
마마57bb09aa,0,129.2377755,35.36529447
마마57bb09ab,0,129.2378238,35.36754766
마마57bb09ba,0,129.2378721,35.36980084
마마57bb09bb,0,129.2379205,35.37205402
마마57bb10aa,0,129.2379688,35.3743072
마마57bb10ab,0,129.2380171,35.37656038
마마57bb10ba,0,129.2380654,35.37881356
마마57bb10bb,0,129.2381138,35.38106674
마마57bb11aa,0,129.2381621,35.38331992
마마58aa00aa,0,129.2387881,35.28413977
마마58aa00ab,0,129.2388363,35.28639299
마마58aa00ba,0,129.2388844,35.2886462
마마58aa00bb,0,129.2389326,35.29089941
마마58aa01aa,0,129.2389808,35.29315262
마마58aa01ab,0,129.2390291,35.29540583
마마58aa01ba,0,129.2390773,35.29765904
마마58aa01bb,0,129.2391255,35.29991225
마마58aa02aa,0,129.2391737,35.30216545
마마58aa02ab,0,129.239222,35.30441866
마마58aa02ba,0,129.2392702,35.30667186
마마58aa02bb,0,129.2393184,35.30892507
마마58aa03aa,0,129.2393667,35.31117827
마마58aa03ab,0,129.2394149,35.31343147
마마58aa03ba,0,129.2394632,35.31568467
마마58aa03bb,0,129.2395115,35.31793787
마마58aa04aa,0,129.2395597,35.32019107
마마58aa04ab,0,129.239608,35.32244427
마마58aa04ba,0,129.2396563,35.32469747
마마58aa04bb,1,129.2397046,35.32695067
마마58aa05aa,0,129.2397528,35.32920386
마마58aa05ab,0,129.2398011,35.33145706
마마58aa05ba,0,129.2398494,35.33371025
마마58aa05bb,0,129.2398977,35.33596344
마마58aa06aa,0,129.2399461,35.33821664
마마58aa06ab,0,129.2399944,35.34046983
마마58aa06ba,0,129.2400427,35.34272302
마마58aa06bb,0,129.240091,35.34497621
마마58aa07aa,0,129.2401394,35.3472294
마마58aa07ab,0,129.2401877,35.34948259
마마58aa07ba,0,129.240236,35.35173577
마마58aa07bb,0,129.2402844,35.35398896
마마58aa08aa,0,129.2403327,35.35624214
마마58aa08ab,0,129.2403811,35.35849533
마마58aa08ba,0,129.2404295,35.36074851
마마58aa08bb,0,129.2404778,35.36300169
마마58aa09aa,0,129.2405262,35.36525487
마마58aa09ab,0,129.2405746,35.36750806
마마58aa09ba,0,129.240623,35.36976123
마마58aa09bb,0,129.2406714,35.37201441
마마58aa10aa,0,129.2407198,35.37426759
마마58aa10ab,0,129.2407682,35.37652077
마마58aa10ba,0,129.2408166,35.37877394
마마58aa10bb,0,129.240865,35.38102712
마마58aa11aa,0,129.2409134,35.38328029
마마58aa11ab,0,129.2409618,35.38553347
